,Metropolitan,County,Total Law Enforcement Employees,Total Officers,Total Civilians,State
0,True,Anoka,256.0,129.0,127.0,MINNESOTA
1,,Benton,70.0,24.0,46.0,MINNESOTA
2,,Blue Earth,69.0,31.0,38.0,MINNESOTA
3,,Carlton,52.0,22.0,30.0,MINNESOTA
4,,Carver,148.0,77.0,71.0,MINNESOTA
5,,Chisago,85.0,40.0,45.0,MINNESOTA
6,,Clay,71.0,34.0,37.0,MINNESOTA
7,,Dakota,185.0,82.0,103.0,MINNESOTA
8,,Dodge,37.0,24.0,13.0,MINNESOTA
9,,Fillmore,30.0,19.0,11.0,MINNESOTA
10,,Hennepin,792.0,321.0,471.0,MINNESOTA
11,,Houston,33.0,13.0,20.0,MINNESOTA
12,,Isanti,56.0,21.0,35.0,MINNESOTA
13,,Le Sueur,33.0,19.0,14.0,MINNESOTA
14,,Mille Lacs,84.0,34.0,50.0,MINNESOTA
15,,Nicollet,41.0,14.0,27.0,MINNESOTA
16,,Olmsted,176.0,71.0,105.0,MINNESOTA
17,,Polk,44.0,32.0,12.0,MINNESOTA
18,,Ramsey,384.0,210.0,174.0,MINNESOTA
19,,Scott,128.0,43.0,85.0,MINNESOTA
20,,Sherburne,278.0,82.0,196.0,MINNESOTA
21,,Sibley,24.0,12.0,12.0,MINNESOTA
22,,Stearns,185.0,68.0,117.0,MINNESOTA
23,,St. Louis,253.0,105.0,148.0,MINNESOTA
24,,Wabasha,45.0,17.0,28.0,MINNESOTA
25,,Washington,237.0,101.0,136.0,MINNESOTA
26,,Wright,228.0,136.0,92.0,MINNESOTA
27,False,Aitkin,48.0,17.0,31.0,MINNESOTA
28,,Becker,56.0,21.0,35.0,MINNESOTA
29,,Beltrami,70.0,29.0,41.0,MINNESOTA
30,,Big Stone,7.0,5.0,2.0,MINNESOTA
31,,Brown,37.0,14.0,23.0,MINNESOTA
32,,Cass,70.0,39.0,31.0,MINNESOTA
33,,Chippewa,18.0,8.0,10.0,MINNESOTA
34,,Clearwater,24.0,10.0,14.0,MINNESOTA
35,,Cook,20.0,12.0,8.0,MINNESOTA
36,,Cottonwood,22.0,10.0,12.0,MINNESOTA
37,,Crow Wing,123.0,37.0,86.0,MINNESOTA
38,,Douglas,82.0,33.0,49.0,MINNESOTA
39,,Faribault,26.0,10.0,16.0,MINNESOTA
40,,Freeborn,73.0,23.0,50.0,MINNESOTA
41,,Goodhue,102.0,39.0,63.0,MINNESOTA
42,,Grant,12.0,7.0,5.0,MINNESOTA
43,,Hubbard,44.0,18.0,26.0,MINNESOTA
44,,Itasca,71.0,30.0,41.0,MINNESOTA
45,,Jackson,26.0,14.0,12.0,MINNESOTA
46,,Kanabec,47.0,19.0,28.0,MINNESOTA
47,,Kandiyohi,103.0,33.0,70.0,MINNESOTA
48,,Kittson,10.0,5.0,5.0,MINNESOTA
49,,Koochiching,20.0,10.0,10.0,MINNESOTA
50,,Lac Qui Parle,12.0,7.0,5.0,MINNESOTA
51,,Lake,30.0,17.0,13.0,MINNESOTA
52,,Lake of the Woods,12.0,6.0,6.0,MINNESOTA
53,,Lincoln,13.0,6.0,7.0,MINNESOTA
54,,Lyon,48.0,17.0,31.0,MINNESOTA
55,,Mahnomen,20.0,13.0,7.0,MINNESOTA
56,,Marshall,22.0,12.0,10.0,MINNESOTA
57,,Martin,33.0,14.0,19.0,MINNESOTA
58,,McLeod,54.0,22.0,32.0,MINNESOTA
59,,Meeker,46.0,21.0,25.0,MINNESOTA
60,,Morrison,51.0,20.0,31.0,MINNESOTA
61,,Mower,70.0,22.0,48.0,MINNESOTA
62,,Murray,16.0,9.0,7.0,MINNESOTA
63,,Nobles,34.0,13.0,21.0,MINNESOTA
64,,Norman,10.0,7.0,3.0,MINNESOTA
